Experiment2_SSS_2
True
Position,N,S,E,W
"(0, 0)", 0, -3986.342310718328, -3564.579357219014, 0
"(0, 1)", -5453.080425430772, 233.36117104143287, 40.278903617767796, 0
"(0, 2)", -1299.8396848270188, 124.49592000667676, 25.272407989249995, 0
"(0, 3)", 35.87036544363545, 70.21232034658235, 0, 0
"(0, 4)", 44.13728676258546, 0, 417.50348659219975, 0
"(1, 0)", 0, -130.16903600381102, -95.40941574556608, -2629.0594665542344
"(1, 1)", -126.9740319690234, 54.07006573920677, 106.22839718834223, 64.11604841667098
"(1, 2)", 21.510205582721717, -2.19, 34.85171912768295, 38.941061764801006
"(1, 3)", 0, 118.9669344705182, -1.0, 0
"(1, 4)", 0, 0, 240.3648219274935, 174.79060555302507
"(2, 0)", 0, -273.65308497790096, -63.08005311239343, -158.22711610506468
"(2, 1)", -288.83348625835987, 101.07259545646724, 65.6539274091305, 103.52677598670354
"(2, 2)", 10.849711935409772, -2.19, -14.3892326498966, 64.06071564012092
"(2, 3)", 0, 283.3398644710266, 0, 0
"(2, 4)", 43.19316499999999, 0, 224.13658872016802, 339.3552665696776
"(3, 0)", 0, -26.95449722662154, -46.34104261483929, -106.10540419471279
"(3, 1)", -14.176581685989913, -7.686571817373937, -55.4287904330665, 169.25874686805753
"(3, 2)", -12.059401140024463, 405.7406592472472, -48.23530090429085, -6.979456157040774
"(3, 3)", 81.2024807807118, 493.9073563289953, -52.182158159585015, 88.52357278187009
"(3, 4)", -2.55, 0, -960.9761633560024, 532.4626138197505
"(4, 0)", 0, -61.86122180704698, 0, -43.357670783697245
"(4, 1)", -56.34036160109734, -81.09809002924996, 0, -63.78919706986423
"(4, 2)", -71.84371411679372, -163.18601330311498, 0, -69.62725150890478
"(4, 3)", -88.33633999505403, -243.36915109166864, 0, -81.9940909419398
"(4, 4)", -407.9897783220607, 0, 0, -577.9264740448366
False
Position,N,S,E,W
"(0, 1)", 4.280702917202577e+23, 1.5566040102362025e+23, 9.972377925967059e+21, 0
"(0, 2)", 2.8328420490042332e+23, 1.210666778709758e+21, -11.919692717988202, 0
"(0, 3)", 1.5050824996305337e+22, -5970.705590410596, -10.763228723370045, 0
"(0, 4)", -9370.81889807378, 0, -10932.94490265227, 0
"(1, 0)", 0, 7.407137163864665e+20, 181599099473298.1, 3.126855925070104e+23
"(1, 1)", 6.140882552329905e+21, -20.46892765631599, -7.569181643732444, 3.1225328802739337e+23
"(1, 2)", -5.4057471117625, -4.02635413498125, 219.35379573294426, -10.933085640568663
"(1, 3)", -3.6279999999999997, -5.459626125, 615.4206039196906, -12.393831670312498
"(1, 4)", 467.02247111529294, 0, 6685.132037936616, -16045.1094756166
"(2, 0)", 0, -5.661031869565624, 3313333474622303.0, 2.2372854659135497e+23
"(2, 1)", 421848161192204.25, 6.0865206543506964, -3.5650000000000004, -2.55
"(2, 2)", 19.4637479642955, -6.5023, 165.65363733022318, 9.707115862952087
"(2, 3)", 21.10370587472008, 3016.3666107444405, 386.85633463187764, -5.502913062499999
"(2, 4)", 325.323259762096, 0, 5495.0685619428195, 684.5234973827835
"(3, 0)", 0, -4.254999999999999, -3.465, 3.1405807120339924e+22
"(3, 1)", -5.185499999999999, 23.865795264043683, -3.7124999999999995, -3.99
"(3, 2)", -6.154566469948438, 76.28934709427293, 73.86595879877028, -6.819570798123573
"(3, 3)", -9.623853478629457, 45.82474784361863, 61.069578024769704, 38.665072441306904
"(3, 4)", 114.99270329337384, 0, 3944.5200756688437, 1503.371165692894
"(4, 0)", 0, -3.3625, 0, -4.5175
"(4, 1)", -3.3249999999999997, -2.899409006413208, 0, -3.5562499999999995
"(4, 2)", -2.8, 126.85419726304117, 0, -6.5941778644343465
"(4, 3)", 25.322737980032795, 42.475832697235504, 0, -5.147047499999999
"(4, 4)", 29.63427598617375, 0, 0, 2532.6720385472295
