Experiment4_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 62.36077528277559, -0.4550749138052232, 0
"(0, 1)", 47.78576009144802, 99.54511934894298, 0, 0
"(0, 2)", 72.83499190739785, 14.999884035094205, 193.87450138713902, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -0.747, -0.6, 2.901537938022291
"(1, 1)", -0.39, -0.3, -0.663, 12.059848918899343
"(1, 2)", 0, 0, 169.2081158841706, 183.49035467288914
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -0.663, -0.9759, -0.6
"(2, 1)", -1.1352, 119.68896065384016, -1.02, -0.2874303255179269
"(2, 2)", 47.22599863601071, 10.547166241183973, 22.20177843478257, 173.239556407866
"(2, 3)", 108.46657290610804, 13.71515758938162, 0, 0
"(2, 4)", 24.91956086334818, 0, 13.51573942437, 14.394695895
"(3, 0)", 0, 0.4412334214385477, -0.837, -0.627
"(3, 1)", -0.6, 24.56642492522615, -0.6, -0.7799999999999999
"(3, 2)", -0.6, -0.48011919000000003, -0.51, 112.29649755940184
"(3, 3)", 0, 1.7041809690000003, 0, 0
"(3, 4)", 0, 0, 0, 7.061799087000001
"(4, 0)", 0, -0.9081, 0, -0.753
"(4, 1)", -0.69, -0.8289, 0, -0.665982299805
"(4, 2)", -0.627, -0.5347893, 0, -0.663
"(4, 3)", 0, -0.8478417, 0, -0.10561686599999998
"(4, 4)", -0.3, 0, 0, -0.32527800000000007
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 42.88520477402605, 4.5, 0
"(0, 1)", 33.64991075139134, 92.86790985313135, 0, 0
"(0, 2)", 24.09942603150957, 52.46667998916261, 134.46633022237853, 0
"(0, 3)", 104.329616631845, -0.8160000000000001, -0.747, 0
"(0, 4)", 51.132985183705756, 0, -0.9960180000000001, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 127.64979003224468, 0, 5.6877732964885315
"(1, 2)", 0, 0, 144.9423319980607, 124.39669937172536
"(1, 3)", -0.39, 0, 1.4924646669779997, -0.4251
"(1, 4)", -0.32642072457000004, 0, -0.3, 10.498985602753311
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 14.5762871265, 98.05685625172069, 13.7646855, 154.44416059870366
"(2, 3)", 103.72087198612954, 33.92210736664642, 0, 0
"(2, 4)", 73.20190384323823, 0, -0.468, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 2.583, 28.531170623366194
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 9.855, 0, 0, 0
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, -0.6, -0.39, 0
"(0, 1)", -0.3, 0.8129999999999997, 0, 0
"(0, 2)", 7.830899999999999, 4.5, 4.409999999999999, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -0.573, -0.3, -0.6
"(1, 1)", -0.627, -0.39, 0, 0
"(1, 2)", 0, 0, -0.3, -0.51
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -0.3, 0, -0.3
"(2, 1)", -0.3, -0.3, -0.3, -0.3
"(2, 2)", -0.3, 0, -0.3, -0.3
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, -0.3
"(3, 2)", 0, 0, 0, -0.3
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 4.3469999999999995, 4.5, 0
"(0, 1)", -0.51, -0.39, 0, 0
"(0, 2)", -0.6, 0, -0.39, 0
"(0, 3)", -0.3, -0.6888171900000001, -0.3, 0
"(0, 4)", 0, 0, -1.29724011, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, -0.51, -0.3
"(1, 3)", -0.3, 0, 0, -0.51
"(1, 4)", -0.6, 0, -0.3, -1.6139427
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 4.5, 0, 0, 4.409999999999999
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, -0.39
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"True, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
