True
Position,N,S,E,W
"(0, 0)", 0, 47.101479300009125, 21.224567716244255, 0
"(0, 1)", 41.017777281215885, 51.219566193298185, 2.516154500969606, 0
"(0, 2)", 47.51722837654982, 73.08607021603993, 28.31345348963911, 0
"(0, 3)", 0, 87.47171533417428, 0, 0
"(0, 4)", 92.74227178918852, 0, 39.748051365945386, 0
"(1, 0)", 0, -1.0389, -1.1352, 40.12419061254035
"(1, 1)", -1.089, 33.521732311291395, -0.7971, -0.56856
"(1, 2)", 15.267211881854113, 21.739714367731416, 23.45096279895724, 56.21247192531753
"(1, 3)", -0.4989, 3.48796235083584, 0, 48.938382047263204
"(1, 4)", 0, 0, 0, 53.487233095748195
"(2, 0)", 0, -1.0110000000000001, -1.073601, 5.550273612359643
"(2, 1)", -0.3301971862968741, 39.19791549772887, -0.72, -0.6458999999999999
"(2, 2)", 14.888415184113361, 19.72883547872977, 8.397789217004838, 49.79667684409328
"(2, 3)", 14.500103323167021, 49.49696477528037, 0.039240679746217644, -0.3
"(2, 4)", 40.189365248236896, 0, 59.60900789966855, 32.36026680568412
"(3, 0)", 0, -1.07787, -1.164231, -1.243659
"(3, 1)", -1.182402, 2.331253258373664, -1.26461022, -0.6
"(3, 2)", -1.39022157, -0.51, -0.663, 20.952233505044077
"(3, 3)", -0.6672098067808969, 59.84189044486009, -0.39, -0.39
"(3, 4)", 38.63388649473645, 0, 53.13784431098957, 54.616147731694745
"(4, 0)", 0, -1.223049, 0, -1.058352
"(4, 1)", -1.4532417, -0.9972300000000001, 0, -0.556869
"(4, 2)", -0.726, -0.663, 0, -0.72
"(4, 3)", -0.3, 55.26427564576164, 0, 17.39767645441951
"(4, 4)", 42.75978962909109, 0, 0, 55.372008806594664
False
Position,N,S,E,W
"(0, 1)", 9.432371110981755, -0.03665052544377212, -1.4412842586162755, 0
"(0, 2)", 8.349817437518691, -0.6010829665419091, 1.7488204634235547, 0
"(0, 3)", 1.7401378020429965, -1.9828472198954001, -3.3364736372020602, 0
"(0, 4)", -3.3018784396746224, 0, -1.7275400772937877, 0
"(1, 0)", 0, -0.20658596468209756, -2.966655113149882, 6.9180318650971735
"(1, 1)", -0.4734113039504281, -1.066877343772573, -3.8063019237881055, -0.5916690067827308
"(1, 2)", -1.1634934108228807, -2.1440185169397212, 7.57679685781034, -0.5619483917933948
"(1, 3)", -3.437145684529538, 0.2848974902137719, 1.9438642608712895, -3.224329908864262
"(1, 4)", -2.2556833500866955, 0, -0.8347958241726491, -1.6974965264694157
"(2, 0)", 0, -0.32479615359268854, -3.1348450843927727, -3.230765454469978
"(2, 1)", -2.701996510669052, -0.45280506648057917, -2.1157565894892665, -2.4861257680692073
"(2, 2)", 8.387780305376484, 3.7821381361179647, 4.459238336986162, -1.0814938890559502
"(2, 3)", 3.030056707503531, -0.5848233740781544, -0.4764525243945492, -3.0919899542323637
"(2, 4)", 0.7923128233091735, 0, 2.5473107574571348, -1.1462457539303266
"(3, 0)", 0, -2.8097980113275596, -3.2762274025601115, -2.9492666077800216
"(3, 1)", -2.981659104048264, 0.4780532583821365, -2.9791869890278653, -3.111519871445679
"(3, 2)", -3.0380491359143047, -2.754305993465751, -1.639024016232664, 4.767687596186935
"(3, 3)", -1.6260208853359164, 1.7231860620504877, -0.4151248701365011, -0.43110876057338815
"(3, 4)", -0.9693505304563323, 0, 2.079524630989351, -0.2468154807539436
"(4, 0)", 0, -3.1568286495065085, 0, -3.028507553266226
"(4, 1)", -3.01661758287706, -2.547026712231233, 0, -2.9913888658408987
"(4, 2)", -2.9886884517258974, 2.7780919432180857, 0, -1.5565448164797346
"(4, 3)", -1.50129696205572, 2.275859662426986, 0, -1.2847980252271085
"(4, 4)", 1.1129617633385671, 0, 0, 2.181626798969353
