Experiment3_SSS_2
True
Position,N,S,E,W
"(0, 0)", 0, 25.759254933783925, 10.034583959040093, 0
"(0, 1)", 12.473587144209022, 28.943020089441, 2.6030540635349864, 0
"(0, 2)", 14.268999177581192, 15.037469889785143, 32.2873373135645, 0
"(0, 3)", 0, 48.044552765970266, 0, 0
"(0, 4)", 33.148552835414776, 0, 93.18641529746243, 0
"(1, 0)", 0, 4.51185956345429, -0.8559, 22.64306768727211
"(1, 1)", -0.7611000000000001, -0.2432994155692488, -0.9111, 14.889646398736014
"(1, 2)", 3.9449441341629314, -0.3, 11.585776074675387, 17.420124115121006
"(1, 3)", 0, 51.29145629505898, 0, 9.378423387768455
"(1, 4)", 0, 0, 0, 82.5493700285213
"(2, 0)", 0, -0.875949, -0.663, -0.94977
"(2, 1)", -0.627, 37.858421513554276, -0.9399, 3.3717937333226176
"(2, 2)", 13.230056232739596, 52.13899567238141, 1.5172136911953649, 8.09536793765416
"(2, 3)", 57.66234380071459, 73.15042943576685, 11.297627294660924, 19.992764470653427
"(2, 4)", 58.72881399541148, 0, 53.73726716622289, 71.5569158835346
"(3, 0)", 0, -0.6, -0.6, -0.6819
"(3, 1)", -0.51, -0.51, -0.39, -0.18878444536590377
"(3, 2)", -0.39, -0.206702579199, -0.3, 52.62994854995965
"(3, 3)", 0, 0, 0, 24.676158028254466
"(3, 4)", 16.567398823972272, 0, 45.07348833940129, 66.51492728172664
"(4, 0)", 0, -0.51, 0, -0.6
"(4, 1)", -0.6, -0.3, 0, -0.39
"(4, 2)", -0.3, 14.857740692339057, 0, -0.45299999999999996
"(4, 3)", 1.7569448009828488, 60.26275755882768, 0, -0.007985759565192707
"(4, 4)", 26.790321593211054, 0, 0, 69.6039892209818
False
Position,N,S,E,W
"(0, 1)", 2.4688329733144934, 0.5649432435059908, 0.3524395238067456, 0
"(0, 2)", 0.3353206695243848, 0.3153112829053891, 0.7011123011814886, 0
"(0, 3)", 0.28439091452850307, 1.2202389294914182, -1.055807894641505, 0
"(0, 4)", 0.37452239999972425, 0, 0.6376499288519194, 0
"(1, 0)", 0, -0.07443011797980104, 1.6942698452349934, 1.5806674773153586
"(1, 1)", 0.587261826764324, 0.041978369889489206, 0.4838074509530839, 0.6551977148944567
"(1, 2)", 0.27132453877880136, 0.16855597614581888, 0.35844681320972727, 0.23653687065148107
"(1, 3)", 0.33190531993640526, 0.30490021256790967, 0.3173916464906399, 0.45652655986580953
"(1, 4)", 0.3563178984619623, 0, 0.18788993942420007, -0.02870098429693814
"(2, 0)", 0, 3.953232328893777, -0.7500755832889647, -0.0007848730437469142
"(2, 1)", -0.6510422302900607, 0.4801355040128732, -0.3139560679836889, -0.7086961602803064
"(2, 2)", -0.09973198778356324, -0.0737339039523372, 0.04505863170629826, 0.14935987650292615
"(2, 3)", 0.35312329426989864, 0.38796084966683836, -0.14485220278156252, 0.07481532031390806
"(2, 4)", -0.024849080532542506, 0, 0.5102881496346829, 0.13699192773142022
"(3, 0)", 0, -0.6, -0.6, 0.04324991667874167
"(3, 1)", -0.46943773977150827, 0.3547918819003223, -0.4630302959821727, 1.821065989951395
"(3, 2)", -0.5628041252810944, -0.2325332035954073, -0.03227853104051798, -0.12207370828394845
"(3, 3)", 0.12022753504187791, 0.38042807393814365, 0.10722823109486906, -0.029601626890767785
"(3, 4)", 0.8141174840930159, 0, 0.926725062927831, 0.5882212788277646
"(4, 0)", 0, -0.6, 0, -0.663
"(4, 1)", -0.627, 1.1817843461268283, 0, -0.88121016982235
"(4, 2)", 0.2534934314416438, 0.20441354507522058, 0, 0.5442514585843501
"(4, 3)", 1.0072160314369465, 0.6580574502441856, 0, 0.8837601623665905
"(4, 4)", 0.48937638836252095, 0, 0, 1.4893834933892154
