"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 50.59634229144912, -0.4992513801017714, 0
"(0, 1)", -0.52833, 64.4562538635321, 0, 0
"(0, 2)", 76.81764640265338, 14.999990449791358, 43.99134076041163, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -0.51, 0, 37.16487361929166
"(1, 1)", -0.52167, 19.218908571106923, 0, -0.39
"(1, 2)", 0, 0, 24.716868156542205, 71.23515262007986
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 45.46010629226758, -0.3, -0.42045
"(2, 2)", 4.626791540703578, 16.148562357107497, 16.282573925296443, 66.1639603455003
"(2, 3)", 39.9880305748069, 22.385785655240934, 0, 0
"(2, 4)", 7.426358341039302, 0, 26.140432999044073, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, -0.69, -0.39, 14.02817094595389
"(3, 2)", 1.7683055051710264, 2.940031200507697, -0.81, 51.301886604793665
"(3, 3)", -0.48, 2.24361887527307, -0.3, 8.92495136903995
"(3, 4)", 0, 0, -0.39, 11.699620451074205
"(4, 0)", 0, -0.51, 0, 0
"(4, 1)", -0.6, -0.3, 0, -0.3
"(4, 2)", -0.3, 0.07937706311624987, 0, -0.51
"(4, 3)", -0.3, -1.0029, 0, 1.0583831472712497
"(4, 4)", -0.7341, 0, 0, 0.7424863037441097
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 4.3469999999999995, 14.99712628152929, 0
"(0, 1)", 13.96770214126397, 40.62656321935538, 0, 0
"(0, 2)", 12.246799015058512, 28.771932301599698, 50.01714245146678, 0
"(0, 3)", 56.389298689410495, -1.146, 3.5028138039923467, 0
"(0, 4)", -0.7719, 0, -0.894, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 54.21159147895842, 0, 11.82533984484326
"(1, 2)", 0, 0, 48.06138242360646, 34.3450618390788
"(1, 3)", 0, 0, 22.16602291894495, -0.6505374
"(1, 4)", -0.51, 0, -0.3585, -0.6351
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 14.13527985, 74.03665733964434, 14.13527985, 58.418702041919765
"(2, 3)", 61.135385560495045, 7.662870622335762, 0, 0
"(2, 4)", 46.809317121110546, 0, -0.873, -0.3
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0.6929999999999998, 34.070565087167786
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 7.65, 0, 0, 4.409999999999999
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
