Experiment5_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -7.548937499999999, 49.397642622698505, 0
"(0, 1)", -15.828562678758068, 1.7607934514110333, 0, 0
"(0, 2)", -3.2194205220167986, 1.854999999999999, 92.85336406185448, 0
"(0, 3)", -4.182413608658589, -7.135654925, -4.327719999999999, 0
"(0, 4)", -14.77691890350905, 0, -24.13220801664765, 0
"(1, 0)", 0, -1.0, 0, -7.472531249999999
"(1, 1)", 0, -1.0, 0, -1.5
"(1, 2)", 0, 0, 59.410997327098755, 27.67820819100077
"(1, 3)", 1.3777504163080092, -2.2664999999999997, 1.5960362273685078, -1.0
"(1, 4)", -5.5406365, 0, -5.192944717, -31.398443982450537
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, -1.0
"(2, 2)", 24.16, 45.742282689999996, 41.42842999999999, 96.13034698429993
"(2, 3)", 36.76603795265585, 29.168253741077017, 0, 0
"(2, 4)", 55.77537219813977, 0, -3.5242523635573995, -7.150446193499999
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, -1.7, 0, 0
"(3, 3)", -1.0, 0, 0, -1.0
"(3, 4)", 0, 0, 66.83851001546898, -9.207170592990737
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 49.0113366285, 0, 0, 25.5
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 71.10734284250543, 0.1627499999999995, 0
"(0, 1)", 16.2244, 46.296745611663276, 0, 0
"(0, 2)", 77.04060510677971, 29.994654999999995, 32.24975, 0
"(0, 3)", -1.765, -2.45, -2.94, 0
"(0, 4)", -4.5175, 0, -1.875, 0
"(1, 0)", 0, -2.55, 0, -1.1386676651111156
"(1, 1)", 4.088176165172883, -2.533, -9.54426720620404, 6.4121999999999995
"(1, 2)", 0, 0, -8.84740450302068, 36.65941816077056
"(1, 3)", -1.0, 0, -1.7, -1.5
"(1, 4)", -1.0, 0, -1.7, -3.8625
"(2, 0)", 0, -3.5, -0.7419374999999998, 15.447665714252993
"(2, 1)", -4.0205, 157.4190594525649, -4.961008856642687, -2.55
"(2, 2)", 83.2807403055495, 102.8286278701879, -10.495505706644348, -3.30900817091035
"(2, 3)", 130.6568615546745, 65.20983168053439, 0, 0
"(2, 4)", 41.42842999999999, 0, 40.42263994171002, 43.42447817642012
"(3, 0)", 0, -1.0, -3.275, 20.77743872833402
"(3, 1)", 8.0856734263125, -4.366017713285375, -4.0600000000000005, -4.60275
"(3, 2)", -3.7725090625, -5.353047799999999, -6.808915807630676, 27.611910976829236
"(3, 3)", -3.91877960325, -5.063209488671875, -1.85, -2.19
"(3, 4)", 0, 0, -5.746418977343749, 47.34567364433775
"(4, 0)", 0, -2.8, 0, -4.3525
"(4, 1)", -3.04, -5.216954944392781, 0, -4.99
"(4, 2)", -5.8275, -5.4918261040625, 0, -7.6892394472718
"(4, 3)", -4.6064916532312505, -12.99964514890781, 0, -3.115
"(4, 4)", -11.619023682093749, 0, 0, -9.51311025041406
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"True, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 106.71244962642868, 37.99499999999999, 0
"(0, 1)", 172.60745418832784, 157.90758583921547, 0, 0
"(0, 2)", 269.93791891593094, -18.22352750972749, -6.618975999999999, 0
"(0, 3)", -18.04922908760751, -8.738412499999999, -7.290679999999998, 0
"(0, 4)", -7.625624999999999, 0, -9.557481249999999, 0
"(1, 0)", 0, 0, 0, 46.052977894687494
"(1, 1)", -1.0, -2.6625, -1.0, 82.93914750400485
"(1, 2)", -3.383, -3.325, -3.04, -7.928235906768219
"(1, 3)", -4.472999999999999, -4.779999999999999, -3.8525, -4.5798
"(1, 4)", -3.99, 0, -5.3595999999999995, -7.8061875
"(2, 0)", 0, -1.875, 0, -1.0
